"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Snackbar-150x150.jpg","14863","Snackbar Airing It Out","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][9]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-1024x683.jpg","76474","Kitty-On Her Toes","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][8]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Pot-of-Gold.jpg","77516","Pot of Gold","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][13]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/ravenpheasants-1024x683.jpg","209668","Raven & His Pheasants (South Dakota)","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][2]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/QuinnTana-SouthDaktoa.jpg","93246","Quinn & Tana - South Dakota","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][15]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Mally.jpg","84606","Mally","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][11]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin.jpg","88810","JR Striped Marlin","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][14]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/KittyBlues-1024x683.jpg","275007","Kitty-Grouse Hunting at 12","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][5]/div/div[1]/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/AshlynLady-150x150.jpg","20881","Ashelynn & Lady","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][1]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-150x150.jpg","13985","Kitty-On Her Toes","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][8]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Quinn-HenrysLake.jpg","81995","Quinn-Henry's Lake","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][12]/div/div[1]/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-150x150.jpg","6576","Raven-Bandana","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][18]/div/div[1]/a/img","Content","HTML","","150x150","","0"
