"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML"
"Image","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/v4-shims.min.css?ver=2.10.2","0","","","200","OK","true","","","Absolute","//head/link[@id='font-awesome-css']","Head","HTML"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/v4-shims.min.css?ver=2.10.2","0","","","200","OK","true","","","Absolute","//head/link[@id='font-awesome-css']","Head","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Current Projects","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Testimonial","200","OK","true","","","Root-Relative","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Learn More","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[2]/div/div/div[1]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Learn More","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[3]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Learn More","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[5]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Learn More","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[7]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","114717","","Learn More","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[9]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/projects/","114717","","Skip to content","200","OK","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/projects/","114717","","Current Projects","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/projects/","114717","","Testimonial","200","OK","true","","","Root-Relative","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/projects/","114717","","Current Projects","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/projects/","114717","","Testimonial","200","OK","true","","","Root-Relative","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/projects/","114717","","Current Projects","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/projects/","114717","","Testimonial","200","OK","true","","","Root-Relative","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/projects/","114717","","See our current projects","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div[2]/div/div/div/div/p[1]/span/strong/span/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/projects/","114717","","Current Projects","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/projects/","114717","","Testimonial","200","OK","true","","","Root-Relative","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML"
"HTML Canonical","https://www.f3properties.com/projects/","https://www.f3properties.com/projects/","114717","","","200","OK","true","","","Absolute","//head/link[21]","Head","HTML"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Sold-Indian-Creek-e1699032423882-landscape-33bcb586805e8196b52f3259de547b37-6075e01d33cb4.png","172623","Sold Indian Creek","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[3]/div[2]/div/div/div/div/div/img","Content","HTML"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-bb-builder-css']","Head","HTML"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-bb-builder-css']","Head","HTML"
"CSS","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-bb-builder-css']","Head","HTML"
