"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-150x150.jpg","image/jpeg","200","OK","Indexable","","","76","","https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.js?ver=c1a4ce84dfde456457a8c677e0273769","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","114","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.js?ver=c1a4ce84dfde456457a8c677e0273769"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.css?ver=e7d7d702778912e400cff50f50e06c4c","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","115","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.css?ver=e7d7d702778912e400cff50f50e06c4c"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.css?ver=1071a55a3e1659f9465ed93e1d6b4b30","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","115","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.css?ver=1071a55a3e1659f9465ed93e1d6b4b30"
"https://www.f3properties.com/wp-content/plugins/bb-plugin/css/jquery.magnificpopup.min.css?ver=2.10.2","text/css","200","OK","Indexable","","","101","","https://www.f3properties.com/wp-content/plugins/bb-plugin/css/jquery.magnificpopup.min.css?ver=2.10.2"
"https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-735x1024.jpg","image/jpeg","200","OK","Indexable","","","82","","https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-735x1024.jpg"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/JasonRoth_portriat-portrait-811b01acc70329134695b4be067e600e-60a692a15f1d9.jpg","image/jpeg","200","OK","Indexable","","","142","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/JasonRoth_portriat-portrait-811b01acc70329134695b4be067e600e-60a692a15f1d9.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-1024x683.jpg","image/jpeg","200","OK","Indexable","","","77","","https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-1024x683.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-1024x683.jpg","image/jpeg","200","OK","Indexable","","","82","","https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-1024x683.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-150x150.jpg","image/jpeg","200","OK","Indexable","","","81","","https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/Mally-150x150.jpg","image/jpeg","200","OK","Indexable","","","73","","https://www.f3properties.com/wp-content/uploads/2021/05/Mally-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/Snackbar-150x150.jpg","image/jpeg","200","OK","Indexable","","","76","","https://www.f3properties.com/wp-content/uploads/2021/05/Snackbar-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-1024x683.jpg","image/jpeg","200","OK","Indexable","","","79","","https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-1024x683.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/Pot-of-Gold.jpg","image/jpeg","200","OK","Indexable","","","71","","https://www.f3properties.com/wp-content/uploads/2021/05/Pot-of-Gold.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/ravenpheasants-1024x683.jpg","image/jpeg","200","OK","Indexable","","","83","","https://www.f3properties.com/wp-content/uploads/2021/03/ravenpheasants-1024x683.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/QuinnTana-SouthDaktoa.jpg","image/jpeg","200","OK","Indexable","","","81","","https://www.f3properties.com/wp-content/uploads/2021/05/QuinnTana-SouthDaktoa.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/Mally.jpg","image/jpeg","200","OK","Indexable","","","65","","https://www.f3properties.com/wp-content/uploads/2021/05/Mally.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin.jpg","image/jpeg","200","OK","Indexable","","","77","","https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/KittyBlues-1024x683.jpg","image/jpeg","200","OK","Indexable","","","79","","https://www.f3properties.com/wp-content/uploads/2021/03/KittyBlues-1024x683.jpg"
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.mosaicflow.min.js?ver=2.10.2","application/javascript","200","OK","Indexable","","","101","","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.mosaicflow.min.js?ver=2.10.2"
"https://www.f3properties.com/wp-content/uploads/2021/03/AshlynLady-150x150.jpg","image/jpeg","200","OK","Indexable","","","78","","https://www.f3properties.com/wp-content/uploads/2021/03/AshlynLady-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-150x150.jpg","image/jpeg","200","OK","Indexable","","","78","","https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/Quinn-HenrysLake.jpg","image/jpeg","200","OK","Indexable","","","76","","https://www.f3properties.com/wp-content/uploads/2021/05/Quinn-HenrysLake.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-150x150.jpg","image/jpeg","200","OK","Indexable","","","81","","https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/03/cash-150x150.jpg","image/jpeg","200","OK","Indexable","","","72","","https://www.f3properties.com/wp-content/uploads/2021/03/cash-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin-150x150.jpg","image/jpeg","200","OK","Indexable","","","85","","https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/05/Grandma-150x150.jpg","image/jpeg","200","OK","Indexable","","","75","","https://www.f3properties.com/wp-content/uploads/2021/05/Grandma-150x150.jpg"
"https://www.f3properties.com/wp-content/uploads/2021/11/RavenAndHisBlankey-150x150.jpg","image/jpeg","200","OK","Indexable","","","86","","https://www.f3properties.com/wp-content/uploads/2021/11/RavenAndHisBlankey-150x150.jpg"
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.imagesloaded.min.js?ver=2.10.2","application/javascript","200","OK","Indexable","","","103","","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.imagesloaded.min.js?ver=2.10.2"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.js?ver=892e4a312b3ad08b088188b308d54378","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","114","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.js?ver=892e4a312b3ad08b088188b308d54378"
"https://www.f3properties.com/wp-content/uploads/2021/03/cash-1024x683.jpg","image/jpeg","200","OK","Indexable","","","73","","https://www.f3properties.com/wp-content/uploads/2021/03/cash-1024x683.jpg"
