"Type","Source","Source Segments","Destination","Destination Segments","Form Action Link","Indexability","Indexability Status","hreflang","Size (Bytes)","Alt Text","Length","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Unlinked","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Skip to content","200","OK","true","","","Path-Relative","false","//body/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Current Projects","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Testimonial","200","OK","true","","","Root-Relative","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Current Projects","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Testimonial","200","OK","true","","","Root-Relative","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Current Projects","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Testimonial","200","OK","true","","","Root-Relative","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","See our current projects","200","OK","true","","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div[2]/div/div/div/div/p[1]/span/strong/span/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Current Projects","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Testimonial","200","OK","true","","","Root-Relative","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML","","","","0"
