"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Project-Brief-Rev.-Dec.-2021.pdf","90752","","View Project Brief","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[1]/div/div[1]/div/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/01/Roth-SVSourceAd-201-Sitting-Bull.pdf","1235925","","Sun Valley Source Ad","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[3]/div/div[2]/div/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Updated-Floor-Plans-12-5-21.pdf","3747989","","Renderings & Floorplans","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[3]/div/div[1]/div/div/a","Content","HTML"
"PDF","https://www.f3properties.com/wp-content/uploads/2022/06/201-Sitting-Bull-Design-Book-Corrected-6-8-22.pdf","https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Updated-Floor-Plans-12-5-21.pdf","3747989","","","200","OK","true","","","","Page 24","","PDF"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/01/WHJ-F3-201-Sitting-Bull-Winter-Ad.pdf","154112","","WHJ Advertisement","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[2]/div/div[2]/div/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/01/22_SV_Winter_F3-Properties-PROFILE-low-res-cover.pdf","734331","","View WHJ Article","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[1]/div/div[2]/div/div/a","Content","HTML"
"PDF","https://www.f3properties.com/wp-content/uploads/2022/06/201-Sitting-Bull-Design-Book-Corrected-6-8-22.pdf","https://www.f3properties.com/wp-content/uploads/2022/01/22_SV_Winter_F3-Properties-PROFILE-low-res-cover.pdf","734331","","","200","OK","true","","","","Page 24","","PDF"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2024/09/41-Cooper-Renderings-Images-09-23-2024.pdf","16133016","","View Project Renderings","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[2]/div[1]/div/div[2]/div/div/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/06/201-Sitting-Bull-Design-Book-Corrected-6-8-22.pdf","7130735","","View Design Book","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[1]/div/div[3]/div/div/a","Content","HTML"
