"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.f3properties.com/wp-content/uploads/2021/03/KittyOcean-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.302","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Quinn-HenrysLake.jpg","image/jpeg","200","OK","Indexable","","1","0.340","",""
"https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.271","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/cash-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.383","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/JR-Striped-Marlin-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.409","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Grandma-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.391","",""
"https://www.f3properties.com/wp-content/uploads/2021/11/RavenAndHisBlankey-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.306","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.imagesloaded.min.js?ver=2.10.2","application/javascript","200","OK","Indexable","","0","0.308","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/cash-1024x683.jpg","image/jpeg","200","OK","Indexable","","1","0.427","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Grandma.jpg","image/jpeg","200","OK","Indexable","","1","0.412","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.magnificpopup.min.js?ver=2.10.2","application/javascript","200","OK","Indexable","","0","0.365","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/GoJumpInaLake.jpg","image/jpeg","200","OK","Indexable","","1","0.373","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/kittyNfall-1024x683.jpg","image/jpeg","200","OK","Indexable","","1","0.416","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.wookmark.min.js?ver=2.10.2","application/javascript","200","OK","Indexable","","0","0.303","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/KittyBlues-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.447","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/ravenpheasants-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.400","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/kittyNfall-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.371","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/GoJumpInaLake-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.459","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Snackbar.jpg","image/jpeg","200","OK","Indexable","","1","0.412","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/AshlynLady-1024x683.jpg","image/jpeg","200","OK","Indexable","","1","0.383","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/QuinnTana-SouthDaktoa-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.418","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Pot-of-Gold-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.415","",""
"https://www.f3properties.com/wp-content/uploads/2021/11/RavenAndHisBlankey-1024x768.jpg","image/jpeg","200","OK","Indexable","","1","0.443","",""
"https://www.f3properties.com/wp-content/uploads/2021/03/JasonRoth_portriat.jpg","image/jpeg","200","OK","Indexable","","0","0.363","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Quinn-HenrysLake-150x150.jpg","image/jpeg","200","OK","Indexable","","0","0.433","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/18-layout.css?ver=bdfb12bb179badb1192d1e62dc0a204e","text/css","200","OK","Indexable","","0","0.371","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.fitvids.min.js?ver=1.2","application/javascript","200","OK","Indexable","","0","0.292","",""
"https://www.f3properties.com/wp-content/uploads/2021/05/Raven-PrayingQuote-scaled-1.jpg","image/jpeg","200","OK","Indexable","","0","0.413","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/18-layout.js?ver=0e785a794391bca8f82a24a5cbbb928e","application/javascript","200","OK","Indexable","","0","0.374","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.10.2","text/css","200","OK","Indexable","","0","0.326","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.easing.min.js?ver=1.4","application/javascript","200","OK","Indexable","","0","0.290","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/201sitingbull_NEW-landscape-f1beea95cf41397c17078dd13ee66ce1-6075e52370993.png","image/png","200","OK","Indexable","","0","0.352","",""
"https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Project-Brief-Rev.-Dec.-2021.pdf","application/pdf","200","OK","Indexable","","1","0.380","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-8sbzcrdqa0ft.jpg","image/jpeg","200","OK","Indexable","","0","0.226","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/css/jquery.bxslider.css?ver=2.10.2","text/css","200","OK","Indexable","","0","0.489","",""
"https://www.f3properties.com/wp-content/uploads/2022/01/Roth-SVSourceAd-201-Sitting-Bull.pdf","application/pdf","200","OK","Indexable","","1","0.462","",""
"https://www.f3properties.com/wp-content/uploads/2022/02/Lot-88-DRONE-SHOTS.jpg","image/jpeg","200","OK","Indexable","","1","0.657","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-6075e0a72941a.jpg","image/jpeg","200","OK","Indexable","","0","0.659","",""
"https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Updated-Floor-Plans-12-5-21.pdf","application/pdf","200","OK","Indexable","","1","0.485","",""
"https://www.f3properties.com/wp-content/uploads/2022/01/WHJ-F3-201-Sitting-Bull-Winter-Ad.pdf","application/pdf","200","OK","Indexable","","1","0.145","",""
"https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.bxslider.min.js?ver=2.10.2","application/javascript","200","OK","Indexable","","0","0.428","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Highcamp-sold-landscape-ba179cdcb7cdc551aa647b17b629d4bf-6075e0dc29cc4.jpg","image/jpeg","200","OK","Indexable","","0","0.206","",""
"https://www.f3properties.com/wp-content/uploads/2024/09/30_aug_24_finals-thumbs-scaled.jpg","image/jpeg","200","OK","Indexable","","1","0.440","",""
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Westcliff-sold-landscape-e0a936680dbd6da6e831b23adcb54db6-6075e007183ee.jpg","image/jpeg","200","OK","Indexable","","0","0.577","",""
"https://www.f3properties.com/wp-content/uploads/2022/01/22_SV_Winter_F3-Properties-PROFILE-low-res-cover.pdf","application/pdf","200","OK","Indexable","","1","0.692","",""
"https://www.f3properties.com/wp-content/uploads/2024/09/41-Cooper-Renderings-Images-09-23-2024.pdf","application/pdf","200","OK","Indexable","","1","0.120","",""
"https://www.f3properties.com/wp-content/uploads/2022/06/201-Sitting-Bull-Design-Book-Corrected-6-8-22.pdf","application/pdf","200","OK","Indexable","","1","0.801","",""
