"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"CSS","https://www.f3properties.com/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-google-fonts-css']","Head","HTML"
"CSS","https://www.f3properties.com/projects/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-google-fonts-css']","Head","HTML"
"CSS","https://www.f3properties.com/contact/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-google-fonts-css']","Head","HTML"
"CSS","https://www.f3properties.com/history/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-google-fonts-css']","Head","HTML"
"CSS","https://www.f3properties.com/about/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","0","","","200","OK","true","","","Absolute","//head/link[@id='astra-google-fonts-css']","Head","HTML"
"CSS","https://www.f3properties.com/","https://fonts.googleapis.com/css?family=Playfair+Display%3A400&ver=6.9.4","0","","","200","OK","true","","","Protocol-Relative","//head/link[@id='fl-builder-google-fonts-43930d9839d4ba616bcca58bbbae5b57-css']","Head","HTML"
